# Generated at 2022-09-17 09:22:47. For help see https://bit.ly/3Bzs6Z4
# URL: https://metaspace2020.eu/datasets?prj=3306688e-35e7-11ed-89bf-bf0bde74f6a6
"datasetId","datasetName","group","submitter","PI","organism","organismPart","condition","growthConditions","ionisationSource","maldiMatrix","analyzer","resPower400","polarity","uploadDateTime","FDR@10%","database","opticalImage"
"2022-09-16_20h53m41s","22-01-25_HTprometex_F1-6_A26_ss25_RF100_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T20:53:41.671666","53","CoreMetabolome - v3","No optical image"
"2022-09-16_20h55m11s","22-01-25_HTprometex_F1-4_A30_ss25_RF70_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T20:55:11.381179","98","CoreMetabolome - v3","No optical image"
"2022-09-16_20h54m16s","22-01-25_HTprometex_F1-3_A28_ss25_RF70_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T20:54:16.824808","49","CoreMetabolome - v3","No optical image"
"2022-09-16_20h53m10s","22-01-25_HTprometex_F1-2_A26_ss25_RF70_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T20:53:10.191851","57","CoreMetabolome - v3","No optical image"
"2022-09-16_20h52m41s","22-01-25_HTprometex_F1-5_A26_ss25_RF50_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T20:52:41.963661","73","CoreMetabolome - v3","No optical image"
"2022-09-16_20h52m05s","22-01-25_HTprometex_F1-1_A24_ss25_RF70_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T20:52:05.078485","119","CoreMetabolome - v3","No optical image"
"2022-09-16_20h45m15s","22-01-24_HTprometex_B2-5_A29_ss25_RF70_CT350_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:45:15.350536","35","HMDB - v4","No optical image"
"2022-09-16_20h44m32s","22-01-24_HTprometex_B2-4_A29_ss25_RF70_CT250_V3.1_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:44:32.526255","29","HMDB - v4","No optical image"
"2022-09-16_20h46m07s","22-01-24_HTprometex_B2-3_A32_ss25_RF100_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:46:07.406460","24","CoreMetabolome - v3","No optical image"
"2022-09-16_20h44m03s","22-01-24_HTprometex_B1-8_A32_ss25_RF70_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:44:03.922941","22","HMDB - v4","No optical image"
"2022-09-16_20h43m36s","22-01-24_HTprometex_B1-3_A32_ss25_RF50_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:43:36.279764","28","HMDB - v4","No optical image"
"2022-09-16_20h40m37s","22-01-24_HTprometex_B1-4_A29_ss25_RF50_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:40:37.238703","45","HMDB - v4","No optical image"
"2022-09-16_20h41m42s","22-01-24_HTprometex_B1-5_A29_ss25_RF70_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:41:42.693951","49","CoreMetabolome - v3","No optical image"
"2022-09-16_20h43m04s","22-01-24_HTprometex_B1-7_A30_ss25_RF70_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:43:04.685568","37","HMDB - v4","No optical image"
"2022-09-16_20h42m27s","22-01-24_HTprometex_B1-2_A30_ss25_RF50_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:42:27.369903","39","CoreMetabolome - v3","No optical image"
"2022-09-16_20h40m04s","22-01-24_HTprometex_B1-9_A28_ss25_RF100_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:40:04.298521","28","CoreMetabolome - v3","No optical image"
"2022-09-16_20h38m56s","22-01-24_HTprometex_B1-1_A28_ss25_RF50_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:38:56.642346","71","CoreMetabolome - v3","No optical image"
"2022-09-16_20h39m33s","22-01-24_HTprometex_B1-6_A28_ss25_RF70_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:39:33.140430","37","HMDB - v4","No optical image"
"2022-09-16_20h38m00s","22-01-24_HTprometex_A2-6_A29_ss25_RF70_CT350_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:38:00.820960","37","HMDB - v4","No optical image"
"2022-09-16_20h35m15s","22-01-24_HTprometex_A2-1_A30_ss25_RF70_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:35:15.387122","31","HMDB - v4","No optical image"
"2022-09-16_20h36m39s","22-01-24_HTprometex_A2-2_A32_ss25_RF70_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:36:39.057948","25","HMDB - v4","No optical image"
"2022-09-16_20h34m40s","22-01-24_HTprometex_A1-3_A30_ss25_RF50_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:34:41.061670","31","HMDB - v4","No optical image"
"2022-09-16_20h37m26s","22-01-24_HTprometex_A2-5_A29_ss25_RF70_CT250_V3.1_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:37:27.024225","33","HMDB - v4","No optical image"
"2022-09-16_20h34m07s","22-01-24_HTprometex_A2-4_A29_ss25_RF100_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:34:07.953872","34","HMDB - v4","No optical image"
"2022-09-16_20h31m43s","22-01-24_HTprometex_A1-4_A28_ss25_RF70_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:31:43.185695","39","CoreMetabolome - v3","No optical image"
"2022-09-16_20h32m14s","22-01-24_HTprometex_A1-5_A29_ss25_RF50_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:32:14.444036","41","HMDB - v4","No optical image"
"2022-09-16_20h32m44s","22-01-24_HTprometex_A1-7_A29_ss25_RF70_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:32:44.658113","55","HMDB - v4","No optical image"
"2022-09-16_20h31m08s","22-01-24_HTprometex_A1-6_A28_ss25_RF50_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:31:08.957568","44","CoreMetabolome - v3","No optical image"
"2022-09-16_20h15m15s","22-01-25_HTprometex_J2-2_A30_ss25_RF70_CT350_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:15:15.159078","16","CoreMetabolome - v3","No optical image"
"2022-09-16_20h13m50s","22-01-25_HTprometex_J2-1_A30_ss25_RF70_CT250_V3.1_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:13:50.213547","22","CoreMetabolome - v3","No optical image"
"2022-09-16_20h12m56s","22-01-25_HTprometex_J1-6_A30_ss25_RF100_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:12:56.205870","32","CoreMetabolome - v3","No optical image"
"2022-09-16_20h12m24s","22-01-25_HTprometex_J1-4_A30_ss25_RF70_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:12:24.217155","36","HMDB - v4","No optical image"
"2022-09-16_20h11m46s","22-01-25_HTprometex_J1-5_A30_ss25_RF50_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:11:46.867029","24","CoreMetabolome - v3","No optical image"
"2022-09-16_20h10m55s","22-01-25_HTprometex_J1-3_A28_ss25_RF70_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:10:55.274634","23","CoreMetabolome - v3","No optical image"
"2022-09-16_20h10m16s","22-01-25_HTprometex_J1-2_A26_ss25_RF70_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:10:16.060473","23","CoreMetabolome - v3","No optical image"
"2022-09-16_20h08m30s","22-01-25_HTprometex_I2-1_A30_ss25_RF70_CT250_V3.1_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:08:30.432554","18","CoreMetabolome - v3","No optical image"
"2022-09-16_20h09m46s","22-01-25_HTprometex_J1-1_A24_ss25_RF70_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:09:46.642219","25","CoreMetabolome - v3","No optical image"
"2022-09-16_20h09m06s","22-01-25_HTprometex_opt_I2-2_A30_ss25_RF70_CT350_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:09:06.995445","29","CoreMetabolome - v3","No optical image"
"2022-09-16_20h07m39s","22-01-25_HTprometex_I1-5_A32_ss25_RF70_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:07:39.621241","36","HMDB - v4","No optical image"
"2022-09-16_20h02m31s","22-01-25_HTprometex_I1-3_A28_ss25_RF70_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:02:31.490012","15","CoreMetabolome - v3","No optical image"
"2022-09-16_20h06m44s","22-01-25_HTprometex_I1-8_A30_ss25_RF100_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:06:44.865749","31","HMDB - v4","No optical image"
"2022-09-16_20h06m08s","22-01-25_HTprometex_I1-4_A30_ss25_RF70_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:06:08.827207","42","CoreMetabolome - v3","No optical image"
"2022-09-16_20h04m40s","22-01-25_HTprometex_I1-7_A30_ss25_RF50_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:04:40.625729","23","CoreMetabolome - v3","No optical image"
"2022-09-16_20h00m50s","22-01-25_HTprometex_I1-1_A24_ss25_RF70_CT250_V3.25_20x20_9AAneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","9AA","Orbitrap","98995","negative","2022-09-16T20:00:50.113421","17","HMDB - v4","No optical image"
